Gss year for this respondent                       ,Respondent id number,Labor force status,Number of hours worked last week,Number of hours usually work a week,Ever work as long as one year,R self-emp or works for somebody,Rs census occupation code (1980),Rs industry code   (1980),Rs census occupation code (2010),Number of children,Age of respondent,Highest year of school completed,Rs highest degree,Respondents sex,Race of respondent,Was r born in this country,Number of persons in household,How many in family earned money,Total family income,Respondents income,Total family income,Respondents income,Health -- version y,General happiness,Condition of health,Is life exciting or dull,To work hard,Weeks r. worked last year,Was r's work part-time or full-time?,Satisfaction with financial situation,Opinion of family income,Ever unemployed in last ten yrs,Opinion of how people get ahead,Rs living standard compared to parents,Work arrangement at main job,Time at current job,Usual work schedule,Days per month r work extra hours,How often r works at home,Usual reason r work at home,R has job other than main,Job requires r to learn new things,Job requires r to work fast,R does numerous things on job,R has too much work to do well,R knows what's expected on job,Job allows r use of skills,R proud to work for employer,A lot of freedom to decide how to do job,The job security is good,How fair is what r earn on the job,Income alone is enough,Rs health in general,Days of poor physical health past 30 days,Days of poor mental health past 30 days,Days of activity limitation past 30 days,How often during past month r felt used up,R had back pain in the past 12 months,Trouble sleeping last 12 months,Job satisfaction in general,R work for whom,How often does r find work stressful,Internet access in r's home,The highest degree r have earned,R preference re: work hrs and money,Rs job is secure,Rs income is high,R has opportunity to advance,Rs job is interesting,R can work independently,R helps others in job,Rs job is useful to society,How often does work exhaust r,Which job would you prefer               ,I am proud of the type of work i do,Have you ever had a paid job for 1 year or+,Is r us citizen,Does r own or rent home?,Number in family of r,Respondent socioeconomic index,Year of birth,Ballot used for interview,Occupation code based on o*net,R's socioeconomic index (2010),Respondents income,Stress at work in past 2 wks,I see myself as successful,I am meeting my current goals,Use internet/apps more than occassionally,Use internet/apps from phone or tablet,Used internet/apps yesterday,Use twitter,Use facebook,Use instagrm,Use linkedin,Use snapchat,Use tumblr,Use whatsapp,Use googlesn,Use pinterst,Use flickr,Use vine,Use clssmtes,Minutes of internet use on weekdays,Hours of internet use on weekdays,Minutes of internet use on weekends,Hours of internet use on weekends,How are you paid,How many hrs/week do you usually work,Most hrs/week worked in past month,Fewest hrs/week worked in past month,How much time felt depressed in past wk,How much time sleep was restless in past wk,How much time felt happy in past wk,How much time felt lonely in past wk,How much time felt sad in past wk,Importance of flexible hrs. at work,Importance of personal contact at work,How often do you work from home,Do you work weekends,How are your working hours decided,What is your working schedule,I would change my work for something different,Did you work multiple jobs in past yr,How much earned from additional jobs in past yr,Job satisfaction,Type of structure in which the respondent lives
2016,443,School,Not applicable,Not applicable,Yes,Someone else,Not applicable,Not applicable,"Miscellaneous life, physical, and social science technicians",0,30,20,Bachelor,Male,White,Yes,2,1,$25000 or more,Not applicable,Not applicable,Not applicable,About right,Very happy,Excellent,Exciting,2nd important,49,Full-time,More or less,Above average,No,Both equally,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Often,Not applicable,Not applicable,Fewer and less,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Always,A full time job,Strongly agree,Not applicable,Not applicable,Not applicable,1st person,-1,1986,Ballot c,0,55.1,Not applicable,A lot of stress,Definitely true,Somewhat true,Yes,Yes,"Yes, used internet yesterday",No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,2,0,3,Not applicable,Not applicable,Not applicable,Not applicable,Some of the time,Some of the time,Most of the time,Some of the time,Some of the time,Not important,Important,Never,Often,"I have a schedule or shift which regularly changes (for example, from days to evenings or to nights)","I have a regular schedule or shift (daytime, evening, or night)",Strongly disagree,No,Not applicable,Not applicable,"APARTMENT HOUSE (5 OR MORE UNITS, 4 STORIES OR MORE)"
2016,445,Working fulltime,40,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Janitors and building cleaners,0,28,12,High school,Male,White,Yes,4,4,$25000 or more,$20000 - 24999,Not applicable,Not applicable,About right,Pretty happy,Good,Routine,Not applicable,52,Full-time,More or less,Below average,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,-1,1988,Ballot a,0,20.7,$20000 to 22499,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Moderately satisfied,DETACHED SINGLE FAMILY HOUSE
2016,451,Other,Not applicable,Not applicable,Yes,Someone else,Not applicable,Not applicable,Designers,0,30,14,High school,Female,White,Yes,2,1,$25000 or more,Not applicable,Not applicable,Not applicable,Not applicable,Pretty happy,Fair,Routine,Not applicable,0,Not applicable,More or less,Average,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Pays rent,2nd person,-1,1986,Ballot a,0,61.4,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"2-FAMILY HOUSE, 2 UNITS ONE ABOVE THE OTHER"
2016,457,Working fulltime,75,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,General and operations managers,1,34,17,Graduate,Female,Other,Yes,3,2,Refused,Refused,Not applicable,Not applicable,Not applicable,Very happy,Good,Exciting,Not applicable,52,Full-time,More or less,Far above average,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Master's,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Own or is buying,2nd person,-1,1982,Ballot a,0,68.6,$170000 or over,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,DETACHED SINGLE FAMILY HOUSE
2016,465,Working fulltime,35,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Compliance officers,0,31,19,Bachelor,Male,White,Yes,1,1,$25000 or more,$25000 or more,Not applicable,Not applicable,Not applicable,Very happy,Excellent,Exciting,2nd important,50,Full-time,Satisfied,Above average,No,Hard work,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Sometimes,Not applicable,Not applicable,More hrs & money,Strongly agree,Agree,Neither,Neither,Strongly agree,Agree,Neither,Sometimes,A part-time job,Agree,Not applicable,Not applicable,Not applicable,1st person,-1,1985,Ballot c,0,69.4,$50000 to 59999,Not applicable,Mostly true,Mostly true,Yes,Yes,"Yes, used internet yesterday",No,No,No,Yes,No,No,No,No,No,No,No,No,30,1,0,2,Salary,35,39,21,None or almost none of the time,None or almost none of the time,Most of the time,None or almost none of the time,None or almost none of the time,Very important,Very important,Never,Often,Starting and finishing times are decided by my employer and i cannot change them on my own,"I have a regular schedule or shift (daytime, evening, or night)",Strongly agree,No,Not applicable,Not applicable,"APARTMENT HOUSE (5 OR MORE UNITS, 4 STORIES OR MORE)"
2016,469,Working fulltime,44,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Bakers,0,29,16,Bachelor,Female,White,Yes,6,4,$25000 or more,$25000 or more,Not applicable,Not applicable,Not applicable,Pretty happy,Not applicable,Not applicable,Most important,52,Full-time,Not at all sat,Below average,No,Not applicable,Somewhat worse,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Bachelor's,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Own or is buying,3rd person,-1,1987,Ballot b,0,19.7,$25000 to 29999,Not applicable,Slightly false,Slightly false,Yes,Yes,"Yes, used internet yesterday",No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,30,1,30,1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,DETACHED SINGLE FAMILY HOUSE
2016,473,Working fulltime,67,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Police and sheriff's patrol officers,1,36,18,Graduate,Male,White,Yes,1,1,$25000 or more,$25000 or more,Not applicable,Not applicable,Not applicable,Not too happy,Not applicable,Not applicable,3rd important,52,Full-time,More or less,Above average,No,Not applicable,Much better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Master's,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Pays rent,1st person,-1,1980,Ballot b,0,65.3,$110000 to $129999,Not applicable,Mostly true,Slightly true,Yes,Yes,"Yes, used internet yesterday",No,No,No,No,No,No,No,No,Yes,Yes,No,No,0,2,0,2,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"2-FAMILY HOUSE, 2 UNITS SIDE-BY-SIDE"
2016,474,Working fulltime,55,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Chefs and head cooks,0,29,13,High school,Male,White,Yes,2,1,$25000 or more,$25000 or more,Not applicable,Not applicable,About right,Pretty happy,Good,Exciting,Not applicable,52,Full-time,More or less,Above average,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Pays rent,1st person,-1,1987,Ballot a,0,32.6,$40000 to 49999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very satisfied,"2-FAMILY HOUSE, 2 UNITS ONE ABOVE THE OTHER"
2016,475,Working fulltime,40,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Human resources workers,0,28,16,Graduate,Male,White,No,2,2,$25000 or more,$25000 or more,Not applicable,Not applicable,Not applicable,Very happy,Good,Routine,Most important,48,Full-time,More or less,Average,Yes,Luck or help,About the same,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Sometimes,Not applicable,Not applicable,More hrs & money,Agree,Agree,Strongly agree,Agree,Neither,Agree,Agree,Sometimes,A full time job,Agree,Not applicable,Not a u.s. citizen,Not applicable,1st person,-1,1988,Ballot c,0,65.3,$50000 to 59999,Not applicable,Somewhat true,Mostly true,Yes,Yes,"Yes, used internet yesterday",Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,0,10,0,5,By the hour,40,40,32,None or almost none of the time,Some of the time,Most of the time,None or almost none of the time,None or almost none of the time,Neither important nor unimportant,Important,Never,Never,Starting and finishing times are decided by my employer and i cannot change them on my own,"I have a regular schedule or shift (daytime, evening, or night)",Neither agree nor disagree,No,Not applicable,Not applicable,DETACHED 3-4 FAMILY HOUSE
2016,478,"Unempl, laid off",Not applicable,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Agricultural and food science technicians,0,24,16,Bachelor,Male,White,Yes,2,1,$25000 or more,$25000 or more,Not applicable,Not applicable,Not applicable,Pretty happy,Not applicable,Not applicable,2nd important,48,Full-time,More or less,Below average,Yes,Not applicable,About the same,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Bachelor's,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Pays rent,2nd person,-1,1992,Ballot b,0,44.5,$35000 to 39999,Not applicable,Mostly false,Slightly false,Yes,Yes,"Yes, used internet yesterday",No,Yes,Yes,No,No,No,No,No,No,No,No,No,0,3,0,3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,ROW HOUSE (3 OR MORE UNITS IN AN ATTACHED ROW)
2016,480,Working fulltime,40,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Nurse practitioners,0,34,19,Graduate,Female,Other,Yes,1,1,$10000 - 14999,$7000 to 7999,Not applicable,Not applicable,Not applicable,Pretty happy,Good,Exciting,3rd important,28,Part-time,More or less,Above average,Yes,Both equally,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Often,Not applicable,Not applicable,Fewer and less,Strongly agree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Often,A full time job,Agree,Not applicable,Not applicable,Not applicable,1st person,-1,1982,Ballot c,0,92.2,$7 000 to 7 999,Not applicable,Somewhat true,Somewhat true,Yes,Yes,"Yes, used internet yesterday",No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,30,0,0,2,Salary,40,42,38,Some of the time,Most of the time,Some of the time,Some of the time,Most of the time,Very important,Neither important nor unimportant,Sometimes,Often,"I have a schedule or shift which regularly changes (for example, from days to evenings or to nights)","I have a regular schedule or shift (daytime, evening, or night)",Disagree,"Yes, during most of that period",Much less than from main job,Not applicable,"2-FAMILY HOUSE, 2 UNITS ONE ABOVE THE OTHER"
2016,482,Working fulltime,38,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,"Ushers, lobby attendants, and ticket takers",0,27,16,Bachelor,Male,White,Yes,3,1,$25000 or more,$25000 or more,Not applicable,Not applicable,Too much,Pretty happy,Excellent,Routine,Most important,52,Full-time,Satisfied,Average,Yes,Luck or help,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Sometimes,Not applicable,Not applicable,Same and same,Agree,Disagree,Strongly disagree,Neither,Agree,Agree,Neither,Sometimes,A full time job,Not agree/dsagre,Not applicable,Not applicable,Not applicable,1st person,-1,1989,Ballot c,0,25.4,$40000 to 49999,A moderate amount of stress,Somewhat true,Somewhat true,Yes,Yes,"Yes, used internet yesterday",No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,0,9,0,3,By the hour,40,40,38,None or almost none of the time,None or almost none of the time,Most of the time,Some of the time,None or almost none of the time,Not important,Important,Never,Hardly ever,"I have a schedule or shift which regularly changes (for example, from days to evenings or to nights)","I have a regular schedule or shift (daytime, evening, or night)",Agree,No,Not applicable,Not applicable,DETACHED 3-4 FAMILY HOUSE
2016,483,Working fulltime,65,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Waiters and waitresses,0,26,16,Bachelor,Female,White,Yes,3,3,$25000 or more,$8000 to 9999,Not applicable,Not applicable,Not applicable,Very happy,Good,Exciting,3rd important,26,Full-time,More or less,Below average,No,Hard work,Somewhat worse,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Sometimes,Not applicable,Not applicable,Same and same,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Often,A full time job,Agree,Not applicable,Not applicable,Not applicable,3rd person,-1,1990,Ballot c,0,19.6,$8 000 to 9 999,Not applicable,Slightly true,Slightly true,Yes,Yes,"Yes, used internet yesterday",No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,30,1,30,1,By hour + tips,45,70,45,None or almost none of the time,Some of the time,Most of the time,None or almost none of the time,None or almost none of the time,Important,Very important,Never,Always,Starting and finishing times are decided by my employer and i cannot change them on my own,"I have a schedule or shift which regularly changes (for example, from days to evenings or to nights)",Agree,"Yes, during some of that period",Less than from main job,Not applicable,"2-FAMILY HOUSE, 2 UNITS ONE ABOVE THE OTHER"
2016,484,Working fulltime,40,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Social and human service assistants,0,31,12,High school,Female,Other,No,3,2,$25000 or more,Not applicable,Not applicable,Not applicable,Not applicable,Pretty happy,Good,Routine,Not applicable,24,Part-time,More or less,Below average,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,"A u.s. citizen born in puerto rico, the u.s. virgin islands, or the northern marianas islands",Pays rent,1st person,-1,1985,Ballot a,0,43.8,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,OTHER (SPECIFY ON NEXT PAGE)
2016,491,Working fulltime,48,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Industrial production managers,1,29,12,High school,Male,Other,No,4,4,$25000 or more,$25000 or more,Not applicable,Not applicable,Not applicable,Very happy,Good,Routine,2nd important,52,Full-time,Satisfied,Average,No,Hard work,Much better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Often,Not applicable,Not applicable,More hrs & money,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Neither,Sometimes,A full time job,Agree,Not applicable,Not a u.s. citizen,Not applicable,2nd person,-1,1987,Ballot c,0,68,$30000 to 34999,Not applicable,Somewhat true,Definitely true,Yes,Yes,"Yes, used internet yesterday",Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,0,1,0,4,By the hour,50,55,45,None or almost none of the time,None or almost none of the time,Most of the time,None or almost none of the time,Some of the time,Not important,Important,Sometimes,Often,"I have a schedule or shift which regularly changes (for example, from days to evenings or to nights)","I have a regular schedule or shift (daytime, evening, or night)",Agree,No,Not applicable,Not applicable,"2-FAMILY HOUSE, 2 UNITS ONE ABOVE THE OTHER"
2016,495,Keeping house,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,1,23,12,High school,Female,Other,No,5,2,Don't know,Not applicable,Not applicable,Not applicable,About right,Very happy,Not applicable,Not applicable,Least important,0,Not applicable,More or less,Below average,No,Not applicable,Somewhat worse,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,A full time job,Not applicable,No,Not a u.s. citizen,Pays rent,1st person,-1,1993,Ballot b,0,-1,Not applicable,Not applicable,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very important,Important,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"2-FAMILY HOUSE, 2 UNITS ONE ABOVE THE OTHER"
2016,497,Working fulltime,45,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Food preparation workers,0,34,13,High school,Male,White,Yes,2,1,$25000 or more,$25000 or more,Not applicable,Not applicable,Too much,Very happy,Excellent,Exciting,Not applicable,52,Full-time,More or less,Above average,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,-1,1982,Ballot a,0,13.6,$75000 to $89999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very satisfied,"2-FAMILY HOUSE, 2 UNITS ONE ABOVE THE OTHER"
2016,500,Working parttime,35,Not applicable,Not applicable,Someone else,Not applicable,Not applicable,Personal care aides,3,33,12,High school,Female,White,Yes,4,1,$10000 - 14999,$8000 to 9999,Not applicable,Not applicable,About right,Pretty happy,Not applicable,Not applicable,Most important,52,Part-time,Not at all sat,Far below average,Yes,Not applicable,Somewhat worse,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Sometimes,Not applicable,Not applicable,More hrs & money,Agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Often,A full time job,Strongly agree,Not applicable,Not applicable,Pays rent,1st person,-1,1983,Ballot b,0,20.1,$8 000 to 9 999,Not applicable,Not applicable,Not applicable,Yes,Yes,"Yes, used internet yesterday",Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,30,0,30,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Important,Very important,Never,Always,Starting and finishing times are decided by my employer and i cannot change them on my own,"I have a regular schedule or shift (daytime, evening, or night)",Agree,"Yes, during most of that period",Much less than from main job,Not applicable,DETACHED SINGLE FAMILY HOUSE
