Gss year for this respondent                       ,Respondent id number,Labor force status,Number of hours worked last week,Number of hours usually work a week,Ever work as long as one year,R self-emp or works for somebody,Rs census occupation code (1980),Rs industry code   (1980),Rs census occupation code (2010),Number of children,Age of respondent,Highest year of school completed,Rs highest degree,Respondents sex,Race of respondent,Was r born in this country,Number of persons in household,How many in family earned money,Total family income,Respondents income,Total family income,Respondents income,Health -- version y,General happiness,Condition of health,Is life exciting or dull,To work hard,Weeks r. worked last year,Was r's work part-time or full-time?,Satisfaction with financial situation,Opinion of family income,Ever unemployed in last ten yrs,Opinion of how people get ahead,Rs living standard compared to parents,Work arrangement at main job,Time at current job,Usual work schedule,Days per month r work extra hours,How often r works at home,Usual reason r work at home,R has job other than main,Job requires r to learn new things,Job requires r to work fast,R does numerous things on job,R has too much work to do well,R knows what's expected on job,Job allows r use of skills,R proud to work for employer,A lot of freedom to decide how to do job,The job security is good,How fair is what r earn on the job,Income alone is enough,Rs health in general,Days of poor physical health past 30 days,Days of poor mental health past 30 days,Days of activity limitation past 30 days,How often during past month r felt used up,R had back pain in the past 12 months,Trouble sleeping last 12 months,Job satisfaction in general,R work for whom,How often does r find work stressful,Internet access in r's home,The highest degree r have earned,Is r us citizen,Does r own or rent home?,Number in family of r,Respondent socioeconomic index,Year of birth,Ballot used for interview,Occupation code based on o*net,R's socioeconomic index (2010)
2010,16,Keeping house,Not applicable,Not applicable,Yes,Someone else,Private household cleaners and servants,Private households,Maids and housekeeping cleaners,1,28,10,Lt high school,Female,White,No,3,1,$4000 to 4999,Not applicable,$4 000 to 4 999,Not applicable,Too little,Very happy,Fair,Exciting,Most important,0,Not applicable,More or less,Far below average,Yes,Hard work,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Yes,Not applicable,No answer,Not applicable,2nd person,22.5,1982,Ballot c,372012,12.6
2010,17,Retired,Not applicable,Not applicable,Yes,Someone else,Secretaries,Legal services,Secretaries and administrative assistants,2,80,14,Junior college,Female,White,Yes,1,0,$10000 - 14999,Not applicable,$12500 to 14999,Not applicable,Not applicable,Pretty happy,Fair,Routine,Not applicable,0,Not applicable,More or less,Below average,Not applicable,Luck or help,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Pays rent,1st person,38.4,1930,Ballot a,436012,38.8
2010,18,Retired,Not applicable,Not applicable,Yes,Someone else,Textile sewing machine operators,"Apparel and accessories, except knit",Sewing machine operators,3,84,9,Lt high school,Female,White,Yes,1,0,Don't know,Not applicable,Don't know,Not applicable,Too little,Pretty happy,Not applicable,Not applicable,2nd important,0,Not applicable,Not at all sat,Below average,No,Not applicable,Much better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Pays rent,1st person,17.1,1926,Ballot b,516031,13.2
2010,19,"Unempl, laid off",Not applicable,Not applicable,Not applicable,No answer,No answer,No answer,No answer,1,51,12,High school,Male,Other,No,2,2,$25000 or more,Refused,$60000 to 74999,Refused,Not applicable,Very happy,Good,Routine,3rd important,9,Full-time,Not at all sat,Average,Yes,Both equally,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Yes,Not applicable,A u.s. citizen,Not applicable,1st person,-1,1959,Ballot c,No answer,-1
2010,20,Working fulltime,50,Not applicable,Not applicable,Someone else,Telephone installers and repairers,Telephone (wire and radio),Telecommunications  line installers and repairers,0,35,16,Bachelor,Male,White,Yes,1,1,$25000 or more,$25000 or more,$75000 to $89999,$75000 to $89999,Not applicable,Not too happy,Not applicable,Not applicable,3rd important,52,Full-time,Not at all sat,Above average,No,Not applicable,Somewhat worse,"Regular, permanent employee",13,Day shift,20,Never,Not applicable,No,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Somewhat true,Very true,About as much as you deserve,No,Excellent,0,5,5,Often,No,Rarely,Somewhat satisfied,Private company,Often,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,48.8,1975,Ballot b,499052,46.2
2010,21,Working fulltime,40,Not applicable,Not applicable,Someone else,"Electricians, except apprentices",Bus service and urban transit,Electricians,0,49,12,High school,Male,White,Yes,1,1,$25000 or more,$25000 or more,$50000 to 59999,$50000 to 59999,Don't know,Pretty happy,Not applicable,Not applicable,2nd important,52,Full-time,More or less,Average,No,Not applicable,Somewhat worse,"Regular, permanent employee",28,Day shift,0,Never,Not applicable,No,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Somewhat true,Somewhat true,Somewhat less than you deserve,No,Very good,8,0,8,Sometimes,No,Rarely,Somewhat satisfied,Government or government agency,Hardly ever,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,44.7,1961,Ballot b,472111,45.4
2010,22,Working parttime,25,Not applicable,Not applicable,Someone else,Taxicab drivers and chauffeurs,Funeral service and crematories,Taxi drivers and chauffeurs,5,56,13,High school,Male,White,Yes,3,2,$25000 or more,$25000 or more,$90000 to $109999,$50000 to 59999,Too little,Very happy,Excellent,Don't know,Not applicable,48,Part-time,More or less,Average,Not applicable,Don't know,Not applicable,"On-call, work only when called to work",4,Irregular shift/on-call,0,Never,Not applicable,No,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Not at all true,Very true,About as much as you deserve,No,Excellent,0,0,0,Rarely,No,Never,Somewhat satisfied,Private company,Sometimes,Yes,Not applicable,Not applicable,Own or is buying,2nd person,33.2,1954,Ballot a,533041,28.5
2010,23,Retired,Not applicable,Not applicable,Yes,Someone else,Bookbinders,"Printing, publishing, and allied   industries, except newspapers",Print binding and finishing workers,2,88,10,Lt high school,Female,Black,Yes,1,0,Don't know,Not applicable,Don't know,Not applicable,Not applicable,Pretty happy,Fair,Routine,Not applicable,0,Not applicable,Not at all sat,Above average,Not applicable,Both equally,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Pays rent,1st person,27.7,1922,Ballot a,515012,23.3
2010,24,Keeping house,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,4,23,10,Lt high school,Female,Black,Yes,4,1,$3000 to 3999,Not applicable,$3 000 to 3 999,Not applicable,Too much,Very happy,Not applicable,Not applicable,2nd important,0,Not applicable,More or less,Below average,Yes,Not applicable,About the same,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Pays rent,1st person,-1,1987,Ballot b,No answer,-1
2010,25,Working parttime,20,Not applicable,Not applicable,Someone else,Street and door-to-door sales workers,"Social services, n.e.c.",Fundraisers,2,35,17,Graduate,Female,White,No,4,2,$25000 or more,$25000 or more,$150000 or over,$60000 to 74999,Not applicable,Pretty happy,Not applicable,Not applicable,2nd important,52,Full-time,More or less,Above average,Yes,Not applicable,Somewhat better,"Regular, permanent employee",3,Day shift,0,A few times a year,Worker has to work at home to keep up with job,No,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Somewhat true,Very true,About as much as you deserve,No,Excellent,0,0,0,Very often,No,Never,Not too satisfied,Non-profit organization,Hardly ever,Not applicable,Not applicable,Not a u.s. citizen,Pays rent,2nd person,37.4,1975,Ballot b,No answer,73
2010,26,Working fulltime,89,Not applicable,Not applicable,Someone else,"Supervisors and proprietors, sales occupations","Security, commodity brokerage, and investment companies",Personal financial advisors,0,26,16,Bachelor,Female,White,No,1,3,$25000 or more,$25000 or more,$150000 or over,$110000 to $129999,Too little,Pretty happy,Excellent,Exciting,Most important,52,Full-time,More or less,Average,No,Both equally,Much better,"Regular, permanent employee",3,Irregular shift/on-call,8,About once a month,Worker has to work at home to keep up with job,No,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Not too true,Very true,About as much as you deserve,Yes,Excellent,2,15,5,Often,Yes,Sometimes,Somewhat satisfied,Private company,Often,Yes,Bachelor's,A u.s. citizen,Not applicable,1st person,50.7,1984,Ballot c,132052,79.3
2010,27,Other,Not applicable,Not applicable,No,Not applicable,No answer,No answer,No answer,0,21,15,High school,Female,Other,Yes,1,1,Refused,Refused,Refused,Refused,Not applicable,Very happy,Excellent,Exciting,Not applicable,12,Part-time,No answer,No answer,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Pays rent,1st person,-1,1989,Ballot a,No answer,-1
2010,28,Working parttime,25,Not applicable,Not applicable,Someone else,"Kitchen workers, food preparation",Eating and drinking places,Dining room and cafeteria attendants and bartender helpers,0,21,14,Junior college,Female,Other,Yes,1,1,$5000 to 5999,$1000 to 2999,$5 000 to 5 999,$1 000 to 2 999,Too little,Pretty happy,Not applicable,Not applicable,Most important,Don't know,Not applicable,Not at all sat,Below average,Don't know,Not applicable,Much better,"Regular, permanent employee",Less than 6 months,Rotating shifts,3,Never,Not applicable,No,Agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Disagree,Not too true,Not too true,Somewhat less than you deserve,No,Very good,4,30,2,Very often,No,Sometimes,Not too satisfied,Private company,Sometimes,Not applicable,Not applicable,Not applicable,Pays rent,1st person,29.1,1989,Ballot b,353022,13.3
2010,29,Working fulltime,40,Not applicable,Not applicable,Someone else,General office clerks,Drugs,Secretaries and administrative assistants,0,33,16,Bachelor,Female,White,Yes,1,1,$25000 or more,$25000 or more,$60000 to 74999,$60000 to 74999,Too little,Not too happy,Good,Routine,Not applicable,52,Full-time,Not at all sat,Average,Not applicable,Both equally,Not applicable,"Regular, permanent employee",3,Day shift,0,Never,Not applicable,No,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Somewhat true,Very true,Somewhat less than you deserve,No,Very good,1,10,1,Very often,No,Rarely,Not too satisfied,Private company,Sometimes,Yes,Bachelor's,Not applicable,Pays rent,1st person,37.7,1977,Ballot a,436011,38.8
2010,30,Working parttime,20,Not applicable,Not applicable,Self-employed,Actors and directors,Theaters and motion pictures,Producers and directors,0,53,16,Bachelor,Female,White,Yes,2,2,$25000 or more,$25000 or more,$150000 or over,$40000 to 49999,Not applicable,Pretty happy,Not applicable,Not applicable,2nd important,30,Full-time,Not at all sat,Far below average,Yes,Not applicable,Somewhat worse,Independent contractor/consultant/freelance worker,3,Day shift,0,About once a week,Worker has to work at home to keep up with job,Yes,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Somewhat true,Somewhat true,Dont know,No,Excellent,0,0,0,Sometimes,No,Sometimes,Somewhat satisfied,Private company,Sometimes,Not applicable,Not applicable,Not applicable,Pays rent,1st person,72.5,1957,Ballot b,272012.01,72.7
2010,31,Working parttime,20,Not applicable,Not applicable,Self-employed,Actors and directors,Theaters and motion pictures,Producers and directors,3,63,20,Graduate,Female,White,Yes,2,2,Refused,Refused,Refused,Refused,Too little,Very happy,Good,Exciting,3rd important,30,Part-time,Satisfied,Far above average,No,Both equally,Somewhat better,Independent contractor/consultant/freelance worker,15,Irregular shift/on-call,0,Worker works mainly at home,Worker wants to work at home,No,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Very true,Dont know,About as much as you deserve,No,Very good,0,0,0,Rarely,No,Never,Very satisfied,Private company,Sometimes,Yes,Master's,Not applicable,Not applicable,2nd person,72.5,1947,Ballot c,272012.01,72.7
2010,32,"Unempl, laid off",Not applicable,Not applicable,Not applicable,Someone else,Management analysts,"Accounting, auditing, and bookkeeping services",Management analysts,0,34,18,Graduate,Male,White,No,2,2,$25000 or more,$25000 or more,$150000 or over,$110000 to $129999,Not applicable,Pretty happy,Good,Exciting,3rd important,52,Full-time,Not at all sat,Above average,Yes,Both equally,Much better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Yes,Master's,Not a u.s. citizen,Not applicable,1st person,82.7,1976,Ballot c,131111,78.3
2010,33,Retired,Not applicable,Not applicable,Yes,Someone else,Economists,Air transportation,Marketing and sales managers,0,75,15,Junior college,Male,White,Yes,1,0,Don't know,Not applicable,Don't know,Not applicable,Too little,Not too happy,Don't know,Routine,Not applicable,0,Not applicable,More or less,Average,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,84.7,1935,Ballot a,413011,73.9
