resp,comp,fproj,timezone,sfips,smsa,qcendiv,sstate,phtype,susr,qmarket,scregion,sdensity3,cregion,state,fips,density3,qlan,qs1,cintro,qs1a,ns1,cointro,qs2a,qs2b,ss2c,qs3,qs4,sex,q1,q2,q3,q4,q6,q7oe,q7.1,q7.2,q7.3,q7.4,q7.5,q7@,q7a,q8a,q8b,q8c,q8d,q8e,q8f,q8g,q8h,int1,int2,q9a,q9b,q9c,q9d,q9e,q9f,q10,q10a,q10b,q13,q14,q15,age,educ,schl,schl2,schl2@,rschl,rschl2,rschl2@,q17,q17@,q18a,q18b,q18c,q18d,q18e,q19,q20,q21,q22,q23a,q23b,q23c,l1,q24,q25,q25a,q26a,q26b,q26c,q26d,q26e,q26f,q26g,employ,employ2,employ2@,employ3,q31,q32,q33,q34,q35,q36,q37,q38,q39,q40,q41,q42,q43,q44a,q44b,q44c,q44d,q44dd,q44e,q44f,q44g,q44h,q44i,q45a,q45b,q46,q47,q48,marital,lwp2,lwp3,kidsa,fam1,fam2,fixhisp,hispx,hisp2,hisp3,racecmb,race1_1,race1_2,race1_3,race1_4,racethn,hh1,hh2,hh30,relig,relig@,chr,born,attend,income,finan,health,regist,regicert,party,partyln,ideo,birthh,mothrh,fathrh,home,home2,l1a,l2,l3,qc1,qc2,qc3,isex,ihisp1,irace1_1,irace1_2,irace1_3,irace1_4,ilang,fdate,fdow,phoneuse,adults,psadjust,puadjust,wt1,weight,q46x,agegroups
16,1,4968,3,46081,00000,4,SD,1,R,2,2,1,2,SD,46081,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,20,25,0,0,0,child of  sixties  chalenge authority,2,4,1,1,1,2,4,2,2,1,1,1,1,2,1,2,2,1,9,0,1,2,2,63,7,5,0,,2,0,,0,,2,2,2,3,1,2,0,2,1,1,2,3,1,1,0,0,2,1,2,2,1,1,1,3,2,,0,0,0,0,1,0,1,0,0,0,2,4,2,1,2,2,1,2,2,1,2,2,1,2,2,2,0,0,2,1,2,0,2,1,1,1,2,2,0,1,1,0,0,0,1,2,0,0,2,,0,9,1,6,0,1,1,1,3,9,3,0,0,0,1,0,0,0,2,0,0,0,1,2,1,0,0,0,1,100114,5,2,2,2,1,2,0.665,0,64
17,1,4968,1,25017,14460,1,MA,0,S,1,1,4,1,MA,25027,3,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,2,0,0,0,0,0,0,,2,3,2,3,2,2,4,3,2,1,1,2,1,1,1,2,2,1,1,0,2,2,2,44,7,5,0,,2,0,,0,,3,3,3,3,3,1,5,2,1,1,2,2,1,2,0,0,2,1,2,2,1,2,1,3,3,,0,0,0,0,1,0,2,0,0,0,1,2,1,1,1,2,2,2,2,1,2,0,1,1,2,2,0,0,2,1,1,1,1,1,1,1,2,2,0,1,1,0,0,0,1,4,2,0,2,,0,2,3,9,0,1,1,1,3,1,3,0,0,0,1,0,0,0,2,0,0,0,2,2,2,0,0,0,1,100114,5,2,2,2,1,2,1.744,0,45
18,1,4968,2,47165,34980,6,TN,1,S,3,3,2,3,TN,47165,2,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,1,1,36,0,0,0,0,the younger generation has more killimgs and robberies,2,3,2,2,1,2,4,2,1,2,2,2,0,0,2,2,2,2,0,3,3,2,9,83,2,0,0,,0,0,,0,,2,2,2,2,2,0,0,0,0,2,9,1,1,2,0,0,0,0,0,2,2,1,2,3,2,,0,0,0,0,1,0,2,0,0,0,1,3,2,1,2,2,2,0,2,2,2,0,2,2,2,2,0,0,2,5,2,0,2,1,1,2,2,0,2,1,1,0,0,0,1,1,0,0,1,,0,1,2,2,0,1,1,1,2,0,3,0,0,0,2,0,0,3,0,0,0,0,1,2,1,0,0,0,1,100114,5,2,1,1,1,1,0.946,0,97
20,1,4968,1,51550,47260,5,VA,1,S,3,3,3,3,VA,51550,3,1,0,0,0,0,0,0,0,0,0,0,1,1,9,1,1,1,1,2,3,14,0,0,"trust worthy, work eithics, evironmentally friendly",2,2,2,2,2,3,4,2,2,1,1,1,2,2,2,2,2,1,2,0,1,2,2,53,7,5,0,,1,7,<7:(VOL) Other (SPECIFY)>:personal reasons,0,,2,1,1,9,1,1,4,2,1,1,2,1,1,2,0,0,2,1,2,2,1,2,1,1,0,,2,1,1,0,0,0,1,1,3,1,1,9,1,1,1,1,2,2,1,1,2,0,1,1,2,2,0,0,2,1,2,0,2,1,1,1,2,2,0,1,1,0,0,0,1,3,0,0,1,,0,1,2,10,0,1,1,1,3,9,2,0,0,0,1,0,0,0,2,0,0,0,1,1,4,0,0,0,1,100114,5,2,3,2,1,2,0.873,0,64
21,1,4968,1,26111,00000,3,MI,1,R,2,2,2,2,MI,26111,2,1,0,0,0,0,0,0,0,0,0,0,2,3,2,9,2,9,0,0,0,0,0,0,,2,4,1,1,9,9,4,2,9,2,2,2,0,0,2,2,9,1,2,0,1,2,9,83,5,0,0,,0,0,,0,,9,2,2,2,9,0,0,0,0,2,9,2,2,0,0,0,0,0,0,2,2,1,9,3,5,<5:(VOL) Other reason (SPECIFY)>:im a house wife..,0,0,0,0,2,2,1,0,0,0,9,3,9,2,1,2,9,0,2,1,1,0,0,0,2,2,0,0,2,1,2,0,2,4,1,2,2,0,2,1,1,0,0,0,1,3,0,0,13,<11:(VOL) Something else {SPECIFY}>:just a cristian,1,1,6,10,0,1,1,1,3,1,1,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,0,0,1,100114,5,1,3,2,2,4,2.143,0,97
22,1,4968,2,19153,19780,4,IA,1,U,2,2,3,2,IA,19153,3,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,2,0,0,0,0,0,0,,2,3,2,3,1,4,4,3,4,1,1,2,2,2,2,2,2,1,2,0,2,2,2,48,5,5,0,,2,0,,0,,3,2,3,3,3,2,0,2,2,1,1,4,1,1,0,0,2,1,2,2,2,1,1,2,0,,2,3,1,0,0,0,2,1,2,4,1,4,2,1,1,2,2,2,1,2,2,2,1,2,2,2,0,0,2,1,1,1,2,1,1,1,2,2,0,1,1,0,0,0,1,3,0,0,1,,0,2,6,8,0,1,1,1,3,2,3,0,0,0,1,0,0,0,3,0,0,0,2,2,2,0,0,0,1,100114,5,2,3,2,1,2,1.248,0,64
23,1,4968,1,45063,17900,5,SC,1,S,3,3,3,3,SC,45063,3,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,1,2,0,0,0,0,work ethic higher expectations,2,4,2,2,2,3,4,2,2,1,1,2,2,2,2,2,2,1,2,0,1,1,0,54,3,5,0,,2,0,,0,,2,2,2,3,2,2,0,2,2,1,2,2,1,2,0,0,2,1,2,2,1,1,1,2,0,,2,1,2,1,0,0,1,1,3,1,9,3,1,1,1,2,1,2,2,1,2,0,1,2,2,2,0,0,2,1,2,0,2,1,1,1,2,2,0,1,1,0,0,0,1,2,0,0,1,,0,1,2,7,0,1,1,1,1,0,2,0,0,0,1,0,0,0,2,0,0,0,2,2,1,0,0,0,1,100126,3,2,2,2,1,2,2.066,0,64
24,1,4968,2,48123,00000,7,TX,1,R,3,3,1,3,TX,48123,1,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,1,9,0,0,0,0,WERE  MORE  CONSERVATIVE,2,3,2,2,1,2,3,2,2,2,2,2,0,0,2,2,2,2,0,3,2,1,0,78,3,0,0,,0,0,,0,,2,2,2,2,3,0,0,0,0,1,2,1,2,0,0,0,0,0,0,2,2,1,1,3,2,,0,0,0,0,1,0,1,0,0,0,9,4,2,2,1,2,1,0,2,1,1,0,0,0,2,2,0,0,2,1,2,0,2,1,1,1,2,2,0,1,1,0,0,0,1,2,0,0,1,,0,1,2,2,0,1,1,1,2,0,3,0,0,0,1,0,2,0,0,0,0,0,1,2,1,0,0,0,1,100114,5,1,2,2,2,4,1.735,0,97
25,1,4968,2,17201,40420,3,IL,0,U,2,2,3,2,IL,17201,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,1,1,4,5,0,0,0,"we are reso{pectal, caring, and giving ; the present generation  they always want to get instead o=f give.",1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,0,1,2,1,0,51,3,5,0,,1,2,,0,,2,3,3,3,3,1,3,2,2,1,2,1,2,0,0,0,2,2,1,2,2,1,2,2,0,,3,3,2,1,0,0,1,2,1,4,2,1,2,2,1,1,2,2,2,2,1,0,0,0,2,2,0,0,2,1,1,1,1,1,1,2,2,0,2,2,2,0,0,0,2,5,2,0,1,,0,1,2,5,0,1,1,1,2,0,3,0,0,0,2,0,1,0,3,0,0,0,1,2,1,0,0,0,1,100114,5,2,3,2,1,2,1.934,0,64
27,1,4968,1,13105,00000,5,GA,1,R,3,3,1,3,GA,13105,1,1,0,0,0,0,0,0,0,0,0,0,2,3,2,2,2,1,1,2,3,5,0,0,MY GENERATION IS GENERRALLY HARD WORKING AND GIVING AND HONEST,2,3,1,1,1,3,4,2,2,1,1,2,1,2,1,2,1,1,9,0,1,2,2,50,7,5,0,,2,0,,0,,2,2,2,2,9,2,0,2,2,4,1,2,1,1,1,0,2,1,2,2,2,1,2,1,0,,2,1,2,2,0,0,2,1,3,2,1,4,2,3,2,1,1,2,1,2,2,1,1,1,2,2,0,0,2,1,2,0,2,1,1,1,2,2,0,1,1,0,0,0,1,2,0,0,1,,0,1,3,7,0,1,1,1,1,0,2,0,0,0,1,0,0,0,2,0,0,0,1,2,1,0,0,0,1,100114,5,2,2,2,1,2,0.917,0,64
28,1,4968,1,37099,00000,5,NC,1,R,3,3,1,3,NC,37099,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,0,0,0,0,0,0,,2,3,1,2,4,3,4,2,2,1,1,1,1,2,1,2,1,1,2,0,1,2,2,51,5,5,0,,2,0,,0,,2,2,2,3,3,2,0,2,2,2,2,1,1,2,0,0,2,2,2,2,1,1,1,3,2,,0,0,0,0,1,0,1,0,0,0,1,4,2,1,1,1,9,2,2,1,1,0,1,2,2,2,0,0,2,1,2,0,2,1,1,2,2,0,2,1,1,0,0,0,1,2,0,0,1,,0,1,2,10,0,1,1,1,1,0,2,0,0,0,1,0,0,0,2,0,0,0,1,2,1,0,0,0,1,100114,5,2,2,2,1,2,0.864,0,64
29,1,4968,1,34003,35620,2,NJ,0,S,1,1,5,1,NJ,34003,5,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,1,6,11,26,0,0,I'M FROM THE BABY BOOMER GENERATION AND I THINK MANY PEOPLE OF MY GENERATION ARE SPOILED. (ELAB) THEY DO NOT HAVE THE WORK ETHIC OF MY PARENTS GENERATION.  THE WORLD WAR 2 GENERATION.,2,3,1,1,1,2,4,2,1,1,1,1,1,1,1,2,1,1,2,0,1,1,0,55,7,5,0,,2,0,,0,,2,2,2,2,3,2,0,2,2,2,2,1,1,2,0,0,2,1,2,2,1,1,1,3,2,,0,0,0,0,1,0,1,0,0,0,1,4,1,1,1,1,2,2,2,1,1,0,2,2,2,2,0,0,2,6,2,0,2,1,1,2,2,0,2,1,1,0,0,0,1,1,0,0,2,,0,2,1,6,0,1,1,1,1,0,1,0,0,0,1,0,0,3,0,0,0,0,1,2,1,0,0,0,1,100114,5,2,1,1,1,1,0.732,0,64
30,1,4968,1,45063,17900,5,SC,1,S,3,3,3,3,SC,45063,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2,0,0,0,0,0,0,,2,3,2,2,1,3,4,2,2,1,1,1,1,2,2,2,1,1,2,0,1,1,0,68,5,0,0,,0,0,,0,,2,2,2,3,1,2,0,2,2,2,2,1,2,0,0,0,2,1,2,2,1,1,1,3,2,,0,0,0,0,1,0,2,0,0,0,9,4,2,3,1,1,2,2,2,2,2,0,0,0,2,2,0,0,2,1,2,0,2,1,1,2,2,0,2,1,1,0,0,0,1,2,0,0,2,,0,2,2,5,0,1,1,1,3,1,2,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,0,0,1,100114,5,1,2,2,2,4,1.488,0,97
31,1,4968,1,50017,00000,1,VT,1,R,1,1,1,1,VT,50017,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,2,0,0,0,0,0,0,,2,3,2,4,2,3,4,3,2,1,1,2,2,2,2,2,2,1,2,0,1,2,1,36,7,5,0,,2,0,,0,,3,2,3,1,3,1,2,2,2,1,2,1,1,2,0,0,2,1,2,2,2,1,2,1,0,,2,1,1,0,0,0,2,2,3,1,2,4,1,1,1,2,1,2,2,2,1,0,2,2,2,2,0,0,2,1,1,3,1,1,1,1,2,2,0,1,1,0,0,0,1,4,2,0,13,,0,2,5,6,2,1,1,1,1,0,2,0,0,0,1,0,0,0,3,0,0,0,2,2,1,0,0,0,1,100114,5,2,2,2,1,2,1.514,0,45
32,1,4968,1,36047,35620,2,NY,1,U,1,1,5,1,NY,36047,5,1,0,0,0,0,0,0,0,0,0,0,1,3,2,2,2,1,1,29,32,0,0,0,"we have hip-hop music, playstation -- all the technology stufff - dbroadband, smartphone",1,2,1,4,1,1,4,2,1,1,1,2,2,2,2,2,2,1,2,0,1,2,2,26,6,5,0,,9,0,,0,,2,3,3,1,3,2,0,1,1,1,2,1,1,1,1,0,2,1,1,2,1,2,2,1,0,,2,3,1,0,0,0,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,2,1,1,2,6,2,0,2,1,1,2,2,0,2,3,3,0,0,0,4,4,0,0,12,,0,0,6,6,2,1,1,1,1,0,9,0,0,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,1,100114,5,3,4,2,1,2,0.429,1,29
33,1,4968,1,44009,39300,1,RI,1,S,1,1,3,1,RI,44009,3,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,9,0,0,0,0,I DON'T KNOW/PROBE/MORE CONSERVATIVE,1,3,2,4,2,2,4,2,2,1,1,2,2,2,2,1,1,1,2,0,1,2,9,69,6,0,0,,0,0,,0,,2,3,3,2,2,2,0,2,2,1,2,1,1,1,2,0,2,1,1,2,2,1,1,3,2,,0,0,0,0,1,0,1,0,0,0,9,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,0,0,2,1,2,0,2,1,1,1,2,2,0,1,1,0,0,0,1,2,0,0,2,,0,2,5,10,0,1,1,1,3,9,9,0,0,0,1,0,0,0,3,0,0,0,1,2,1,0,0,0,1,100114,5,2,2,2,1,2,0.848,0,97
34,1,4968,1,37011,00000,5,NC,1,R,3,3,1,3,NC,37011,1,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,1,15,0,0,0,0,We are more likely to vote than the younger generation,1,2,9,1,2,2,4,2,2,1,1,9,1,2,2,1,1,1,2,0,1,2,2,55,5,5,0,,2,0,,0,,2,2,2,1,3,1,5,2,2,1,2,1,1,1,1,0,2,1,2,2,1,1,2,3,5,<5:(VOL) Other reason (SPECIFY)>:disabled,0,0,0,0,2,2,1,0,0,0,9,4,9,1,2,2,2,2,2,1,2,1,1,1,2,2,0,0,2,4,1,0,2,1,1,2,2,0,2,1,1,0,0,0,1,2,0,0,1,,0,1,1,1,0,1,1,1,1,0,2,0,0,0,1,0,0,0,3,0,0,0,1,2,2,0,0,0,1,100114,5,2,2,2,1,2,0.785,0,64
35,1,4968,1,21147,00000,6,KY,0,R,3,3,1,3,KY,21147,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,1,2,1,1,44,0,0,0,0,we're doing the best we can to survive,1,2,2,3,2,2,2,3,1,2,2,2,0,0,2,2,2,2,0,3,4,2,1,41,2,5,0,,2,0,,0,,3,3,3,1,3,0,0,0,0,2,1,1,2,0,0,0,0,0,0,2,2,2,1,3,5,<5:(VOL) Other reason (SPECIFY)>:disabled,0,0,0,0,2,2,1,0,0,0,1,4,2,3,2,2,2,0,2,2,2,0,0,0,1,2,4,2,2,3,1,0,2,4,3,2,2,0,2,1,1,0,0,0,1,2,0,0,12,,0,0,3,1,0,2,1,2,1,0,3,0,0,0,2,0,2,0,0,0,0,0,1,2,1,0,0,0,1,100114,5,1,2,2,2,4,3.625,4,45
37,1,4968,1,18097,26900,3,IN,1,U,2,2,5,2,IN,18097,5,1,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,1,9,0,0,0,0,0,,1,1,3,2,1,2,4,1,2,1,1,2,2,9,1,2,2,1,1,0,2,9,0,38,3,5,0,,2,0,,0,,3,1,3,3,1,2,0,2,2,2,1,2,1,1,50,0,2,2,2,2,1,1,1,1,0,,2,1,1,0,0,0,1,2,1,1,1,1,2,3,1,1,2,2,1,1,1,1,1,2,1,2,3,2,2,2,0,0,1,1,1,2,2,0,2,2,2,0,0,0,2,5,3,0,1,,0,2,5,6,2,1,1,1,2,0,3,0,0,0,2,0,0,0,3,0,0,0,1,2,1,0,0,0,1,100114,5,2,2,2,1,2,2.391,3,45
38,1,4968,1,42005,38300,2,PA,0,S,1,1,2,1,PA,42005,2,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,0,0,0,0,0,0,,1,3,4,1,1,1,4,1,1,2,2,2,0,0,2,2,2,1,9,0,1,2,1,69,3,0,0,,0,0,,0,,2,2,2,1,2,0,0,0,0,2,1,2,1,2,0,0,0,0,0,2,2,1,1,1,0,,2,3,1,0,0,0,1,2,3,1,2,4,1,1,1,2,1,0,2,1,1,0,1,2,2,2,0,0,2,1,2,0,2,1,1,1,2,2,0,1,1,0,0,0,1,3,0,0,1,,0,1,6,9,0,9,9,0,9,9,9,0,0,0,9,0,0,0,9,0,0,0,2,1,4,0,0,0,1,100114,5,2,3,2,1,2,1.641,0,97
39,1,4968,1,37101,39580,5,NC,0,S,3,3,2,3,NC,37101,2,1,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,2,0,0,0,0,0,0,,2,2,2,2,1,3,3,2,3,1,2,2,2,2,2,2,2,1,9,0,1,2,9,99,3,0,0,,0,0,,0,,9,2,3,9,2,2,0,2,2,1,2,2,1,2,0,0,2,2,2,2,2,1,1,3,2,,0,0,0,0,1,0,9,0,0,0,9,4,9,1,2,2,9,2,1,1,2,0,1,2,2,2,0,0,2,5,2,0,2,1,1,1,2,2,0,1,1,0,0,0,1,1,0,0,1,,0,9,4,10,0,1,1,1,2,0,3,0,0,0,9,0,0,3,0,0,0,0,2,2,1,0,0,0,1,100114,5,2,1,1,1,1,0.396,0,0
